batch_id,total_energy_pJ
0,8460933168.900
1,8460933168.900
2,8460933168.900
3,8460933168.900
4,8460933168.900
5,8414784048.900
6,8460933168.900
7,8460933168.900
8,8460933168.900
9,8460933168.900
10,8460933168.900
11,8460933168.900
12,8460933168.900
13,8460933168.900
14,8460933168.900
15,8417737592.580
16,8460933168.900
17,8460933168.900
18,8460933168.900
19,8460933168.900
20,8460933168.900
21,8460933168.900
22,8460933168.900
23,8460933168.900
24,8368034990.340
25,8460933168.900
26,8460933168.900
27,8460933168.900
28,8460933168.900
29,8460933168.900
30,8460933168.900
31,8460933168.900
32,8460933168.900
33,8460933168.900
34,8460933168.900
35,8460933168.900
36,8460933168.900
37,8460933168.900
38,8460933168.900
39,8460933168.900
40,8460933168.900
41,8460933168.900
42,8460933168.900
43,8460933168.900
44,8460933168.900
45,8460933168.900
46,8460933168.900
47,8460933168.900
48,8460933168.900
49,8460933168.900
50,8460933168.900
51,8460933168.900
52,8460933168.900
53,8460933168.900
54,8460933168.900
55,8305349102.340
56,8460933168.900
57,8414784048.900
58,8460933168.900
59,8460933168.900
60,8460933168.900
61,8460933168.900
62,8460933168.900
63,8460933168.900
64,8460933168.900
65,8460933168.900
66,8460933168.900
67,8460933168.900
68,8460933168.900
69,8460933168.900
70,8460933168.900
71,8460933168.900
72,8460933168.900
73,8460933168.900
74,8460933168.900
75,8460933168.900
76,8460933168.900
77,8460933168.900
78,8460933168.900
79,8460933168.900
80,8460933168.900
81,8460933168.900
82,8460933168.900
83,8460933168.900
84,8460933168.900
85,8421844864.260
86,8407446338.820
87,8460933168.900
88,8460933168.900
89,8460933168.900
90,8460933168.900
91,8460933168.900
92,8460933168.900
93,8460933168.900
94,8460933168.900
95,8460933168.900
96,8460933168.900
97,8460933168.900
98,8460933168.900
99,8460933168.900
100,1878576502.020
101,6603969495.300
102,8460933168.900
103,1548794890.500
104,4619557335.300
105,8460933168.900
106,7387843064.580
107,1472879588.100
108,5768562742.020
109,8460933168.900
110,8460933168.900
111,4683089290.500
112,2303886791.940
113,1733883627.780
114,3615844741.380
115,8460933168.900
116,8460933168.900
117,2947251673.860
118,2674187330.820
119,1442836510.980
120,2541324014.340
121,2034222100.740
122,6865235046.660
123,8460933168.900
124,8460933168.900
125,1588083174.660
126,4580269051.140
127,8460933168.900
128,1821551572.740
129,4346800653.060
130,8460933168.900
131,6051287634.180
132,1876161364.740
133,6701836395.780
134,4408148216.580
135,2381617293.060
136,1656153126.660
137,3890785815.300
138,8460933168.900
139,8460933168.900
140,8460933168.900
141,8460933168.900
142,6333874078.980
143,1878576502.020
144,2218218642.180
145,2411660370.180
146,7955308027.140
147,3564742282.500
148,2654250910.980
149,7874608599.300
150,1442836510.980
151,5261199316.740
152,8460933168.900
153,7355477148.420
154,1472879588.100
155,2515941998.340
156,2029561039.620
157,7423777846.020
158,8460933168.900
159,2888026969.860
160,3280325255.940
161,8267106864.900
162,1320802854.660
163,5041375675.140
164,8460933168.900
165,6450323691.780
166,1848287296.260
167,6330674406.660
168,8460933168.900
169,3744493104.900
170,2567075223.300
171,8317717066.500
172,2103522695.940
173,2583104350.980
174,1605973650.180
175,2490821494.020
176,2145964503.300
177,1805214784.260
178,2669710866.180
179,1442836510.980
180,5533679104.260
181,8460933168.900
182,8460933168.900
183,8460933168.900
184,8460933168.900
185,8460933168.900
186,8460933168.900
187,2117613560.580
188,4050738665.220
189,7754651653.380
190,1442836510.980
191,2541324014.340
192,2034222100.740
193,7024603341.060
194,4258594301.700
195,2415383065.860
196,1622387353.860
197,4040339730.180
198,8460933168.900
199,8460933168.900
